post_id,title,category,score,num_comments,author,collected_at
47703419,Meta removes ads for social media addiction litigation,worldnews,203,87,giuliomagnifico,2026-04-09 21:26:45
47697870,LittleSnitch for Linux,worldnews,1105,378,pluc,2026-04-09 21:26:45
47704881,Vercel Claude Code plugin wants to read your prompt,technology,22,2,akshay2603,2026-04-09 21:26:45
47702541,A WebGPU Implementation of Augmented Vertex Block Descent,technology,57,2,juretriglav,2026-04-09 21:26:45
47701572,"Wit, unker, Git: The lost medieval pronouns of English intimacy",worldnews,100,56,eigenspace,2026-04-09 21:26:45
47684811,One Brain to Query: Wiring a 60-Person Company into a Single Slack Bot,technology,9,6,meryll_dindin,2026-04-09 21:26:45
47703123,How Pizza Tycoon simulated traffic on a 25 MHz CPU,science,145,33,FinnKuhn,2026-04-09 21:26:45
47702499,Lichess and Take Take Take Sign Cooperation Agreement,science,82,11,stevage,2026-04-09 21:26:45
47685644,Introduction to Nintendo DS Programming,technology,89,15,medbar,2026-04-09 21:26:45
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,79,63,SirHound,2026-04-09 21:26:45
47701148,FreeBSD Laptop Compatibility: Top Laptops to Use with FreeBSD,sports,87,52,fork-bomber,2026-04-09 21:26:45
47680061,Building a framework-agnostic Ruby gem (and making sure it doesn't break),entertainment,17,1,joemasilotti,2026-04-09 21:26:45
47699181,Open Source Security at Astral,entertainment,293,69,vinhnx,2026-04-09 21:26:45
47700388,Help Keep Thunderbird Alive,sports,331,232,playfultones,2026-04-09 21:26:45
47658950,Haunted Paper Toys,science,185,23,exvi,2026-04-09 21:26:45
47624763,Tree Calculus,entertainment,62,15,tosh,2026-04-09 21:26:45
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,113,39,willmeyers,2026-04-09 21:26:45
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,85,95,kisamoto,2026-04-09 21:26:45
47701100,Creating the Futurescape for the Fifth Element (2019),worldnews,85,55,nixass,2026-04-09 21:26:45
47701233,Claude mixes up who said what,technology,286,266,sixhobbits,2026-04-09 21:26:45
47661972,Small Engines,entertainment,27,7,surprisetalk,2026-04-09 21:26:45
47703065,Session is shutting down in 90 days,entertainment,64,86,balamatom,2026-04-09 21:26:45
47660434,C# in Unity 2026: Writing more modern code,technology,57,49,hacker_13,2026-04-09 21:26:45
47663743,"Show HN: Moon simulator game, ray-casting",sports,68,15,JKCalhoun,2026-04-09 21:26:45
47666639,The Importance of Being Idle,entertainment,255,153,Caiero,2026-04-09 21:26:45
47691730,I ported Mac OS X to the Nintendo Wii,science,1766,297,blkhp19,2026-04-09 21:26:45
47645010,Dr. Dobb's Developer Library DVD 6 (2010),sports,110,43,kristianp,2026-04-09 21:26:45
47693153,Understanding the Kalman filter with a simple radar example,technology,399,54,alex_be,2026-04-09 21:26:45
47632157,"Improving storage efficiency in Magic Pocket, Dropbox's immutable blob store",entertainment,53,13,laluser,2026-04-09 21:26:45
47704443,Study found that young adults have grown less hopeful and more angry about AI,technology,18,2,elsewhen,2026-04-09 21:26:45
47689648,ML promises to be profoundly weird,sports,567,557,pabs3,2026-04-09 21:26:45
47687273,Git commands I run before reading any code,technology,2150,459,grepsedawk,2026-04-09 21:26:45
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,375,354,chabons,2026-04-09 21:26:45
47678690,Six (and a half) intuitions for KL divergence,technology,102,20,jxmorris12,2026-04-09 21:26:45
47648538,I imported the full Linux kernel git history into pgit,technology,153,37,ImGajeed76,2026-04-09 21:26:45
47656730,Understanding Traceroute,technology,151,22,stonecharioteer,2026-04-09 21:26:45
47694983,Expanding Swift's IDE Support,science,133,59,frizlab,2026-04-09 21:26:45
47700662,Today Is CSS Naked Day,science,11,0,edent,2026-04-09 21:26:45
47643852,Map Gesture Controls - Control maps with your hands,worldnews,40,7,hebelehubele,2026-04-09 21:26:45
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,118,52,DamnInteresting,2026-04-09 21:26:45
47688678,They're made out of meat (1991),entertainment,603,162,surprisetalk,2026-04-09 21:26:45
47704285,Clean code in the age of coding agents,technology,42,46,yanis_t,2026-04-09 21:26:45
47696035,John Deere to pay $99M in right-to-repair settlement,technology,353,116,CharlesW,2026-04-09 21:26:45
47645717,Union types in C# 15,science,218,195,0x00C0FFEE,2026-04-09 21:26:45
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,59,17,meribold,2026-04-09 21:26:45
47685320,Who is Satoshi Nakamoto? My quest to unmask Bitcoin's creator,technology,570,729,jfirebaugh,2026-04-09 21:26:45
47700460,Ask HN: What are you building that's not AI related?,technology,66,99,meander_water,2026-04-09 21:26:45
47704137,OpenAI pulls out of landmark £31B UK investment package,technology,7,3,mellosouls,2026-04-09 21:26:45
47689237,US cities are axing Flock Safety surveillance technology,technology,728,411,giuliomagnifico,2026-04-09 21:26:45
47703686,The Moon is on Google Maps–did Artemis II tell us anything new?,technology,6,0,voxadam,2026-04-09 21:26:45
47702861,Encrypted Client Hello: How it was blocked in Russia and next steps,entertainment,18,3,grittygrease,2026-04-09 21:26:45
47686549,Veracrypt project update,entertainment,1240,484,super256,2026-04-09 21:26:45
